TICKER,ELECTION_CYCLE,COMMITTEE_NAME,COMMITTEE_TYPE_FULL,PARTY_NAME_FULL,RECEIPT_AMOUNT
MSFT,2024,PETE AGUILAR FOR CONGRESS,House,Democrat,15100.000000
MSFT,2024,VALUE IN ELECTING WOMEN POLITICAL ACTION COMMITTEE,Hybrid PAC (with Non-Contribution Account) - Qualified,Republican,15000.000000
MSFT,2024,BLUE NEVADA PAC,PAC - Qualified,Democrat,15000.000000
MSFT,2024,THE PETER NORBECK LEADERSHIP PAC,PAC - Qualified,Republican,15000.000000
MSFT,2024,CHC BOLD PAC,PAC - Qualified,Democrat,15000.000000
MSFT,2024,"JOBS, EDUCATION, & FAMILIES FIRST  JEFF PAC",PAC - Qualified,Democrat,15000.000000
MSFT,2024,MASSACHUSETTS DEMOCRATIC STATE COMMITTEE - FED FUND,Party - Qualified,Democrat,15000.000000
MSFT,2024,PEOPLE'S VOICE PAC,PAC - Qualified,Democrat,15000.000000
MSFT,2024,COMMON GROUND PAC,PAC - Qualified,Democrat,15000.000000
MSFT,2024,CA LUV PAC (CALIFORNIA LEADERSHIP UNITED FOR VICTORY PAC),PAC - Qualified,Democrat,15000.000000
MSFT,2024,KATHERINE CLARK FOR CONGRESS,House,Democrat,14300.000000
MSFT,2024,TED CRUZ FOR SENATE,Senate,Republican,14200.000000
MSFT,2024,"STEIL FOR WISCONSIN, INC.",House,Republican,13300.000000
MSFT,2024,RASHIDA TLAIB FOR CONGRESS,House,Democrat,13300.000000
MSFT,2024,JEFFRIES FOR CONGRESS,House,Democrat,13300.000000
MSFT,2024,BALDERSON FOR CONGRESS,House,Republican,12800.000000
MSFT,2024,ANGIE CRAIG FOR CONGRESS,House,Democrat,12500.000000
MSFT,2024,KARI LAKE FOR SENATE,Senate,Republican,12050.630000
MSFT,2024,ASPIRE PAC,PAC - Qualified,Democrat,12000.000000
MSFT,2024,COMER FOR CONGRESS,House,Republican,11600.000000
MSFT,2024,SWALWELL FOR CONGRESS,House,Democrat,11500.000000
MSFT,2024,M-PAC,PAC - Qualified,Democrat,11000.000000
MSFT,2024,ELISSA SLOTKIN FOR MICHIGAN,Senate,Democrat,10600.000000
MSFT,2024,MARTIN HEINRICH FOR SENATE,Senate,Democrat,10500.000000
MSFT,2024,FIGHT FOR OUR RIGHTS PAC,Hybrid PAC (with Non-Contribution Account) - Nonqualified,Democrat,10000.000000
MSFT,2024,A NEW DIRECTION PAC,PAC - Qualified,Democrat,10000.000000
MSFT,2024,BSA | THE SOFTWARE ALLIANCE PAC,PAC - Qualified,Dark PAC,10000.000000
MSFT,2024,EVERGREEN PAC,PAC - Qualified,Democrat,10000.000000
MSFT,2024,HMP,Hybrid PAC (with Non-Contribution Account) - Qualified,Democrat,10000.000000
MSFT,2024,FREE STATE PAC,PAC - Qualified,Republican,10000.000000
MSFT,2024,HIMES FOR CONGRESS,House,Democrat,10000.000000
MSFT,2024,SMART SOLUTIONS PAC,PAC - Qualified,Democrat,10000.000000
MSFT,2024,WINNING FOR AMERICA PAC,PAC - Qualified,Republican,10000.000000
MSFT,2024,NEW YORK MAJORITY MAKERS,PAC - Nonqualified,Dark PAC,10000.000000
MSFT,2024,MIKE JOHNSON FOR LOUISIANA,House,Republican,10000.000000
MSFT,2024,ALAMO PAC,PAC - Qualified,Republican,10000.000000
MSFT,2024,AMERICAN REVIVAL PAC,PAC - Qualified,Republican,10000.000000
MSFT,2024,PALLONE FOR CONGRESS,House,Democrat,10000.000000
MSFT,2024,MADISON PAC; THE,PAC - Qualified,Democrat,10000.000000
MSFT,2024,DEFEND THE DREAM,PAC - Qualified,Democrat,10000.000000
MSFT,2024,MOTOR CITY PAC,PAC - Qualified,Democrat,10000.000000
MSFT,2024,LISA MCCLAIN FOR CONGRESS,House,Republican,10000.000000
MSFT,2024,ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC),PAC - Qualified,Republican,10000.000000
MSFT,2024,THE NEXT 50 PAC,Hybrid PAC (with Non-Contribution Account) - Qualified,Democrat,10000.000000
MSFT,2024,DIANA FOR CONGRESS,House,Republican,10000.000000
MSFT,2024,BIG SKY OPPORTUNITY PAC,PAC - Qualified,Republican,10000.000000
MSFT,2024,LOBO PAC,PAC - Qualified,Democrat,10000.000000
MSFT,2024,FUND FOR AMERICA'S FUTURE,PAC - Qualified,Republican,10000.000000
MSFT,2024,OORAH! POLITICAL ACTION COMMITTEE,PAC - Qualified,Republican,10000.000000
MSFT,2024,BOHANNAN VICTORY FUND 2024,PAC - Nonqualified,Dark PAC,10000.000000
MSFT,2024,TRUE NORTH PAC,PAC - Qualified,Republican,10000.000000
MSFT,2024,RESPONSIBILITY AND FREEDOM WORK PAC (RFWPAC),PAC - Qualified,Republican,10000.000000
MSFT,2024,ONE FOR ALL COMMITTEE,Super PAC (Independent Expenditure-Only),Democrat,10000.000000
MSFT,2024,ALL FOR OUR COUNTRY LEADERSHIP PAC,PAC - Qualified,Democrat,10000.000000
MSFT,2024,PINEAPPLE PAC,PAC - Qualified,Democrat,10000.000000
MSFT,2024,TOGETHER HOLDING OUR MAJORITY PAC,PAC - Qualified,Republican,10000.000000
MSFT,2024,LEAD ENCOURAGE ELECT PAC,PAC - Qualified,Republican,10000.000000
MSFT,2024,DEFEND OUR CONSERVATIVE SENATE PAC (DOC'S PAC),PAC - Qualified,Republican,10000.000000
MSFT,2024,ROB WITTMAN FOR CONGRESS,House,Republican,10000.000000
MSFT,2024,STEER PAC,PAC - Qualified,Republican,10000.000000
MSFT,2024,BLUEGRASS COMMITTEE,PAC - Qualified,Republican,10000.000000
MSFT,2024,MAKE IT WORK PAC,PAC - Qualified,Other,10000.000000
MSFT,2024,PRAIRIE POLITICAL ACTION COMMITTEE,PAC - Qualified,Democrat,10000.000000
MSFT,2024,REPUBLICAN GOVERNANCE GROUP/TUESDAY GROUP PAC,PAC - Qualified,Republican,10000.000000
MSFT,2024,TREASURE STATE PAC,PAC - Qualified,Democrat,10000.000000
MSFT,2024,BLUE DOG POLITICAL ACTION COMMITTEE,PAC - Qualified,Democrat,10000.000000
MSFT,2024,CHRISTINA BOHANNAN FOR CONGRESS,House,Democrat,9900.000000
MSFT,2024,AHMED FOR CONGRESS,House,Democrat,9900.000000
MSFT,2024,ALASKANS FOR DAN SULLIVAN,Senate,Republican,9900.000000
MSFT,2024,BACCAM FOR IOWA,House,Democrat,9900.000000
MSFT,2024,RESTORE OUR NATION (RON PAC),Hybrid PAC (with Non-Contribution Account) - Nonqualified,Republican,9831.680000
MSFT,2024,LOFGREN FOR CONGRESS,House,Democrat,9800.000000
MSFT,2024,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,PAC - Qualified,Dark PAC,9711.980000
MSFT,2024,TEAM KENNEDY,Presidential,Other,9608.870000
MSFT,2024,CAROL FOR CONGRESS,House,Republican,9500.000000
MSFT,2024,STRICKLAND FOR WASHINGTON,House,Democrat,9100.000000
MSFT,2024,HUMAN RIGHTS CAMPAIGN EQUALITY VOTES,Super PAC (Independent Expenditure-Only),Democrat,9050.000000
MSFT,2024,EVAN LOW FOR CONGRESS,House,Democrat,9000.000000
MSFT,2024,WICKER FOR SENATE,Senate,Republican,9000.000000
MSFT,2024,JANELLE BYNUM FOR CONGRESS,House,Democrat,8700.000000
MSFT,2024,MARIO DIAZ-BALART FOR CONGRESS,House,Republican,8500.000000
MSFT,2024,JAY OBERNOLTE FOR CONGRESS,House,Republican,8300.000000
MSFT,2024,DAN NEWHOUSE FOR CONGRESS,House,Republican,8300.000000
MSFT,2024,SCALISE LEADERSHIP FUND,PAC - Nonqualified,Republican,8300.000000
MSFT,2024,HARRIS ACTION FUND,PAC - Nonqualified,Democrat,8100.000000
MSFT,2024,SCHMITT FOR SENATE,Senate,Republican,8000.000000
MSFT,2024,MOOLENAAR FOR CONGRESS,House,Republican,8000.000000
MSFT,2024,BERNIE MORENO FOR SENATE,Senate,Republican,8000.000000
MSFT,2024,LISA BLUNT ROCHESTER FOR SENATE,Senate,Democrat,7642.000000
MSFT,2024,DEBBIE FOR FLORIDA,Senate,Democrat,7600.000000
MSFT,2024,LICCARDO FOR CONGRESS,House,Democrat,7600.000000
MSFT,2024,LAHOOD FOR CONGRESS,House,Republican,7500.000000
MSFT,2024,MAKING A RESPONSIBLE STAND FOR HOUSEHOLDS IN AMERICA PAC,PAC - Qualified,Republican,7500.000000
MSFT,2024,NEVADANS FOR STEVEN HORSFORD,House,Democrat,7500.000000
MSFT,2024,CLARKE FOR CONGRESS,House,Democrat,7500.000000
MSFT,2024,GRANITE VALUES PAC,PAC - Qualified,Democrat,7500.000000
MSFT,2024,BERGMANFORCONGRESS,House,Republican,7500.000000
MSFT,2024,FRIENDS OF MAZIE HIRONO,Senate,Democrat,7500.000000
MSFT,2024,BUILDING RELATIONSHIPS IN DIVERSE GEOGRAPHIC ENVIRONMENTS PAC,PAC - Qualified,Democrat,7500.000000
MSFT,2024,ARIZONA DEMOCRATIC PARTY,Party - Qualified,Democrat,7500.000000
MSFT,2024,NEBRASKA SANDHILLS PAC,PAC - Qualified,Republican,7500.000000
MSFT,2024,ASHLEY HINSON FOR CONGRESS,House,Republican,7500.000000
MSFT,2024,CASEY KEYSTONE VICTORY FUND,PAC - Nonqualified,Democrat,7300.000000
MSFT,2024,MONICA TRANEL FOR MONTANA,House,Democrat,7300.000000
MSFT,2024,ERIC SORENSEN FOR ILLINOIS,House,Democrat,7100.000000
MSFT,2024,KEN CALVERT FOR CONGRESS COMMITTEE,House,Republican,7000.000000
MSFT,2024,GARBARINO FOR CONGRESS,House,Republican,7000.000000
MSFT,2024,GALLEGO FOR ARIZONA,Senate,Democrat,7000.000000
MSFT,2024,MIKE KELLY FOR CONGRESS,House,Republican,7000.000000
MSFT,2024,"LAUREL LEE FOR CONGRESS, INC.",House,Republican,7000.000000
MSFT,2024,BANKS FOR SENATE,Senate,Republican,7000.000000
MSFT,2024,DARRELL ISSA FOR CONGRESS,House,Republican,7000.000000
MSFT,2024,EMILIA SYKES FOR CONGRESS,House,Democrat,6800.000000
MSFT,2024,ANDY KIM FOR NEW JERSEY,Senate,Democrat,6800.000000
